#miRNA	read_count	precursor	total	cc1	cc2	cc3	mm1	mm2	mm3	cc1(norm)	cc2(norm)	cc3(norm)	mm1(norm)	mm2(norm)	mm3(norm)
hsa-let-7a-3p	8376.00	hsa-let-7a-1	8376.00	1010.00	1908.00	1645.00	1663.00	1003.00	1147.00	388.05	336.43	271.95	277.87	233.09	221.94
hsa-let-7a-5p	2595033.00	hsa-let-7a-1	2595033.00	229758.00	516527.00	622223.00	446253.00	369613.00	410659.00	88275.26	91076.60	102866.01	74565.52	85896.00	79462.47
hsa-let-7a-5p	2590935.00	hsa-let-7a-2	2590935.00	229277.00	515636.00	621582.00	445767.00	368832.00	409841.00	88090.46	90919.49	102760.04	74484.31	85714.50	79304.18
hsa-let-7a-2-3p	15.00	hsa-let-7a-2	15.00	0	0	4.00	1.00	10.00	0	0	0	0.66	0.17	2.32	0
hsa-let-7a-3p	8328.00	hsa-let-7a-3	8328.00	1009.00	1890.00	1645.00	1659.00	984.00	1141.00	387.67	333.25	271.95	277.21	228.68	220.78
hsa-let-7a-5p	2587462.00	hsa-let-7a-3	2587462.00	228917.00	514870.00	621345.00	444722.00	368490.00	409118.00	87952.14	90784.43	102720.86	74309.70	85635.03	79164.28
hsa-let-7b-5p	691338.00	hsa-let-7b	691338.00	63046.00	146417.00	183851.00	79404.00	98231.00	120389.00	24222.89	25816.97	30394.28	13267.81	22828.34	23295.26
hsa-let-7b-3p	4444.00	hsa-let-7b	4444.00	325.00	724.00	1122.00	959.00	630.00	684.00	124.87	127.66	185.49	160.24	146.41	132.35
hsa-let-7c-3p	600.00	hsa-let-7c	600.00	63.00	144.00	153.00	78.00	96.00	66.00	24.21	25.39	25.29	13.03	22.31	12.77
hsa-let-7c-5p	256293.00	hsa-let-7c	256293.00	38553.00	58875.00	73603.00	32611.00	23546.00	29105.00	14812.44	10381.13	12168.06	5449.05	5471.96	5631.81
hsa-let-7d-3p	14525.00	hsa-let-7d	14525.00	1588.00	3382.00	3770.00	2339.00	1898.00	1548.00	610.13	596.33	623.26	390.83	441.08	299.54
hsa-let-7d-5p	250699.00	hsa-let-7d	250699.00	24836.00	54621.00	63358.00	42779.00	32366.00	32739.00	9542.23	9631.05	10474.35	7148.05	7521.68	6334.99
hsa-let-7e-3p	1005.00	hsa-let-7e	1005.00	52.00	170.00	306.00	238.00	170.00	69.00	19.98	29.98	50.59	39.77	39.51	13.35
hsa-let-7e-5p	251041.00	hsa-let-7e	251041.00	25569.00	55985.00	62186.00	43050.00	33091.00	31160.00	9823.86	9871.55	10280.60	7193.33	7690.16	6029.46
hsa-let-7f-5p	2023723.00	hsa-let-7f-1	2023723.00	165057.00	316466.00	418178.00	412516.00	299097.00	412409.00	63416.51	55800.85	69133.25	68928.32	69508.48	79801.09
hsa-let-7f-1-3p	567.00	hsa-let-7f-1	567.00	3.00	130.00	106.00	182.00	72.00	74.00	1.15	22.92	17.52	30.41	16.73	14.32
hsa-let-7f-2-3p	414.00	hsa-let-7f-2	414.00	16.00	73.00	90.00	54.00	111.00	70.00	6.15	12.87	14.88	9.02	25.80	13.54
hsa-let-7f-5p	2083285.00	hsa-let-7f-2	2083285.00	169675.00	326092.00	428058.00	425885.00	307352.00	426223.00	65190.79	57498.16	70766.62	71162.18	71426.89	82474.10
hsa-let-7g-5p	506631.00	hsa-let-7g	506631.00	44185.00	81234.00	103536.00	103694.00	70969.00	103013.00	16976.31	14323.58	17116.59	17326.49	16492.80	19933.00
hsa-let-7g-3p	52.00	hsa-let-7g	52.00	0	0	4.00	15.00	0	33.00	0	0	0.66	2.51	0	6.39
hsa-let-7i-3p	581.00	hsa-let-7i	581.00	22.00	141.00	152.00	138.00	61.00	67.00	8.45	24.86	25.13	23.06	14.18	12.96
hsa-let-7i-5p	176162.00	hsa-let-7i	176162.00	16923.00	31292.00	36617.00	35905.00	23169.00	32256.00	6501.98	5517.56	6053.53	5999.46	5384.35	6241.53
hsa-miR-1-3p	413.00	hsa-mir-1-1	413.00	22.00	233.00	150.00	7.00	0	1.00	8.45	41.08	24.80	1.17	0	0.19
hsa-miR-1-5p	0.00	hsa-mir-1-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1-3p	413.00	hsa-mir-1-2	413.00	22.00	233.00	150.00	7.00	0	1.00	8.45	41.08	24.80	1.17	0	0.19
hsa-miR-100-3p	0.00	hsa-mir-100	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-100-5p	16658.00	hsa-mir-100	16658.00	577.00	4168.00	2648.00	3694.00	3154.00	2417.00	221.69	734.92	437.77	617.24	732.97	467.69
hsa-miR-101-5p	0.00	hsa-mir-101-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-101-3p	25474.00	hsa-mir-101-1	25474.00	2064.00	5058.00	3062.00	6747.00	3523.00	5020.00	793.01	891.85	506.21	1127.37	818.73	971.37
hsa-miR-101-3p	26002.00	hsa-mir-101-2	26002.00	2125.00	5144.00	3111.00	6921.00	3585.00	5116.00	816.45	907.02	514.31	1156.45	833.13	989.95
hsa-miR-101-2-5p	0.00	hsa-mir-101-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10226	0.00	hsa-mir-10226	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-3p	0.00	hsa-mir-10392	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10392-5p	0.00	hsa-mir-10392	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-3p	0.00	hsa-mir-10393	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10393-5p	0.00	hsa-mir-10393	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-5p	0.00	hsa-mir-10394	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10394-3p	0.00	hsa-mir-10394	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10395-5p	0.00	hsa-mir-10395	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10395-3p	75.00	hsa-mir-10395	75.00	0	0	37.00	13.00	16.00	9.00	0	0	6.12	2.17	3.72	1.74
hsa-miR-10396a-5p	0.00	hsa-mir-10396a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-3p	0.00	hsa-mir-10396a	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396a-5p	0.00	hsa-mir-10396b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10396b-3p	22.00	hsa-mir-10396b	22.00	0	0	0	22.00	0	0	0	0	0	3.68	0	0
hsa-miR-10396b-5p	0.00	hsa-mir-10396b	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-5p	0.00	hsa-mir-10397	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10397-3p	0.00	hsa-mir-10397	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-5p	0.00	hsa-mir-10398	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10398-3p	0.00	hsa-mir-10398	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10399-3p	172.00	hsa-mir-10399	172.00	14.00	53.00	18.00	16.00	18.00	53.00	5.38	9.35	2.98	2.67	4.18	10.26
hsa-miR-10399-5p	168.00	hsa-mir-10399	168.00	0	44.00	18.00	58.00	7.00	41.00	0	7.76	2.98	9.69	1.63	7.93
hsa-miR-103a-1-5p	0.00	hsa-mir-103a-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103a-3p	428532.00	hsa-mir-103a-1	428532.00	41728.00	92377.00	78761.00	91247.00	65280.00	59139.00	16032.30	16288.37	13020.78	15246.69	15170.71	11443.39
hsa-miR-103a-2-5p	80.00	hsa-mir-103a-2	80.00	10.00	55.00	10.00	0	0	5.00	3.84	9.70	1.65	0	0	0.97
hsa-miR-103a-3p	429926.00	hsa-mir-103a-2	429926.00	41919.00	92710.00	78987.00	91558.00	65511.00	59241.00	16105.69	16347.09	13058.14	15298.65	15224.39	11463.13
hsa-miR-103b	0.00	hsa-mir-103b-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-103b	0.00	hsa-mir-103b-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-3p	0.00	hsa-mir-10400	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10400-5p	139.00	hsa-mir-10400	139.00	15.00	65.00	27.00	0	27.00	5.00	5.76	11.46	4.46	0	6.27	0.97
hsa-miR-10401-3p	782.00	hsa-mir-10401	782.00	58.00	228.00	167.00	142.00	142.00	45.00	22.28	40.20	27.61	23.73	33.00	8.71
hsa-miR-10401-5p	38.00	hsa-mir-10401	38.00	14.00	24.00	0	0	0	0	5.38	4.23	0	0	0	0
hsa-miR-105-3p	0.00	hsa-mir-105-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-1	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-3p	0.00	hsa-mir-105-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-2	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10522-5p	39.00	hsa-mir-10522	39.00	0	0	0	25.00	14.00	0	0	0	0	4.18	3.25	0
hsa-miR-10523-5p	0.00	hsa-mir-10523	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10524-5p	7.00	hsa-mir-10524	7.00	0	0	0	7.00	0	0	0	0	0	1.17	0	0
hsa-miR-10525-3p	0.00	hsa-mir-10525	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10526-3p	0.00	hsa-mir-10526	0.00	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-10527-5p	190.00	hsa-mir-10527	190.00	64.00	28.00	31.00	34.00	16.00	17.00	24.59	4.94	5.12	5.68	3.72	3.29
hsa-miR-106a-3p	2.00	hsa-mir-106a	2.00	0	0	0	0	0	2.00	0	0	0	0	0	0.39
hsa-miR-106a-5p	346.00	hsa-mir-106a	346.00	38.00	42.00	99.00	103.00	27.00	37.00	14.60	7.41	16.37	17.21	6.27	7.16
hsa-miR-106b-5p	7258.00	hsa-mir-106b	7258.00	694.00	1259.00	1428.00	1818.00	734.00	1325.00	266.64	221.99	236.08	303.77	170.58	256.39
hsa-miR-106b-3p	5304.00	hsa-mir-106b	5304.00	470.00	955.00	1607.00	801.00	445.00	1026.00	180.58	168.39	265.67	133.84	103.42	198.53
